103
(2, 1)
(1, 2)
(2, 3)
(3, 2)
(4, 5)
(5, 4)
(5, 6)
(6, 5)
(6, 7)
(7, 6)
(7, 8)
(8, 7)
(8, 9)
(9, 8)
(8, 10)
(10, 8)
(10, 11)
(11, 10)
(11, 12)
(12, 11)
(12, 13)
(13, 12)
(13, 14)
(7, 12)
(16, 15)
(15, 16)
(15, 3)
(3, 15)
(16, 17)
(17, 16)
(17, 18)
(18, 17)
(18, 19)
(20, 21)
(21, 20)
(20, 17)
(17, 20)
(23, 22)
(25, 23)
(26, 25)
(32, 26)
(31, 32)
(30, 31)
(29, 30)
(30, 29)
(29, 28)
(28, 29)
(31, 27)
(27, 28)
(28, 24)
(24, 28)
(24, 22)
(22, 24)
(33, 32)
(33, 34)
(34, 14)
(14, 34)
(14, 33)
(4, 14)
(14, 4)
(34, 36)
(36, 34)
(36, 37)
(37, 36)
(38, 44)
(44, 38)
(44, 45)
(45, 44)
(35, 13)
(35, 48)
(48, 35)
(48, 11)
(11, 48)
(48, 47)
(47,48)
(47, 46)
(46, 47)
(37, 30)
(30, 37)
(37, 38)
(38, 37)
(36, 44)
(44, 36)
(44, 43)
(45, 46)
(46, 45)
(38, 39)
(39, 38)
(39, 40)
(40, 39)
(43, 42)
(42, 43)
(43, 44)
(42, 40)
(40, 42)
(40, 41)
(41, 40)
(41, 46)
(46, 41)
(21, 1)
(1, 21)
(15, 14)
(14, 15)
