53621
(1, 0.0, -0.0, 41, 61)
(2, 6293.966432861867, 1150.5339059904218, 93, 55)
(3, 1168.2138993276749, 1098.272290468216, 30, 95)
(4, 2073.3406022145646, 592.4465691624209, 56, 80)
(5, 72.05431246571243, 349.8192392233759, 16, 105)
(6, 2038.4253952479921, 19.57030708901584, 23, 81)
(7, 6063.459349927842, -1711.2899210602045, 27, 102)
(8, 6218.020297963754, -2100.583359242417, 35, 86)
(9, 879.8854545385111, 596.2271966673434, 93, 116)
(10, 1861.1806821766077, 895.4527442688122, 1, 81)
(11, -870.7674705535173, 969.5085654137656, 85, 63)
(12, 1220.809099630569, -189.920934708789, 97, 59)
(13, 2206.3297344811726, 23.350934594869614, 54, 61)
(14, 4552.876271461253, 1015.7656548982486, 25, 46)
(15, 1325.665915456484, 621.0236653098837, 81, 64)
(16, 2267.3757492093137, -382.5105476574972, 27, 53)
(17, 4958.848948640865, -2312.6320843528956, 19, 92)
(18, 817.5051006907597, -1319.1054147845134, 37, 44)
(19, 518.5019429435488, 561.200794775039, 83, 15)
(20, -1582.6373909320682, -1634.78781152796, 73, 112)
(21, 4553.432246094802, -192.7008078750223, 66, 47)
(22, 4849.544335749117, 1435.7488928353414, 1, 102)
(23, -2044.207531433669, -259.8625435680151, 74, 34)
(24, 1901.5444405486342, 1209.911996819079, 92, 69)
(25, 3206.416904722457, 846.3045866917819, 75, 25)
(26, -100.74260354007129, 1425.741349437274, 96, 52)
(27, 3846.0101227818523, -553.7507346896455, 41, 52)
(28, 2461.077311424073, 999.4200006807223, 20, 20)
(29, 2231.348592976341, 744.8948135916144, 4, 46)
(30, 2411.373179213726, 1440.1966899009421, 42, 45)
(31, 1021.658986010123, 897.3430580217391, 46, 66)
(32, 4306.3571190903895, -188.3642057357356, 73, 38)
(33, 3029.6169713577256, -83.17380513064563, 15, 7)
(34, 6371.135711953277, 343.1475436249748, 12, 62)
(35, 5074.714062204468, -1332.1152212014422, 44, 95)
(36, 1843.723078693496, 153.67138862330467, 40, 54)
(37, 2602.7396479690215, 327.0242792619392, 98, 2)
(38, 368.0552071934799, -1865.8508690958843, 83, 95)
(39, 6065.016078900779, -159.6759146619588, 95, 34)
(40, 2564.3773982767016, 892.4504812499508, 22, 49)
(41, -1686.8270371977706, 1303.31573520042, 97, 14)
(42, 841.1896200660849, -79.05959284491837, 80, 105)
(43, 6161.199690448353, -1975.9338464746252, 95, 16)
(44, 2347.213706539944, 521.504205962643, 12, 0)
(45, -324.1332111688098, -780.8107748972252, 4, 78)
(46, 6274.396125772502, 1157.4279914433137, 99, 45)
(47, 234.2877104402287, 736.9999738000333, 99, 66)
(48, 6137.070391366491, 20.904646208509803, 21, 9)
(49, 2331.090442176559, 490.59201635513455, 1, 102)
(50, 6157.975037575583, 109.63819767069072, 65, 49)
(51, 4718.2231273819925, 1325.2211357494816, 13, 14)
(52, 6933.782040774706, -456.3439789498225, 13, 38)
(53, 2065.0009827160975, -936.1500874208286, 21, 34)
(54, 2717.826397046447, 1208.8000475531444, 35, 69)
(55, 582.9950003974373, 306.675607685931, 56, 90)
(56, 5212.039796610479, -843.8582983063534, 44, 21)
(57, 2129.9388198765228, 226.72645542863756, 8, 4)
(58, 4636.606051224866, 670.5054076667875, 52, 9)
(59, 1122.9575641835108, 821.2857281966135, 58, 102)
(60, -1084.9288992710644, -1220.1419300707057, 37, 67)
(61, 1711.9570906194858, 1193.788732455112, 97, 118)
(62, 1418.4024842779618, 747.1187121244147, 86, 51)
(63, 1052.6823705439456, 1029.6650207284838, 31, 11)
(64, -1413.7322973590344, -562.646328820847, 32, 69)
(65, 6510.351760112215, 1217.80683661066, 40, 77)
(66, 2249.5845609459793, 1414.955441551283, 67, 28)
(67, 2408.815695901052, -2071.339093534276, 57, 81)
(68, 5088.947012815042, 1071.58550807368, 93, 95)
(69, 3235.1051957966993, -2017.0759693328291, 50, 77)
(70, 6577.179911025567, -174.35364497825503, 11, 104)
(71, 6170.095284579904, -130.87642866186798, 30, 28)
(72, 4289.344295313931, 1097.9387056883425, 54, 13)
(73, -670.7277975201141, 959.7234118692577, 25, 95)
(74, -1722.8541934307432, -677.3994931187481, 73, 108)
(75, 4233.07966243173, -231.17425249423832, 76, 79)
(76, 2087.4623578982428, -424.31984007544816, 62, 37)
(77, 1878.3047008799622, -405.52789747249335, 20, 17)
(78, 2397.696203236701, -484.5874903174117, 13, 111)
(79, 1940.1290800942807, 1272.625935446471, 49, 3)
(80, 2551.1452020059805, 348.26251025125384, 1, 75)
(81, 294.22177590150386, 868.9883517278358, 73, 95)
(82, 1483.5627112917136, 669.7270431807265, 9, 98)
(83, 2821.6824585322756, -1820.2609491711482, 88, 78)
(84, 268.202163066715, 94.29329779464751, 10, 57)
(85, 4209.2839481297415, -266.9790188735351, 55, 93)
(86, -789.5951741031604, -2554.592244733125, 35, 113)
(87, 1897.9862028958742, 764.0203409744427, 27, 93)
(88, -95.2940521343844, 381.2874034643173, 90, 85)
(89, 2816.2339071265887, 665.9464156748727, 36, 81)
(90, 3815.653907807893, 496.15176268760115, 51, 85)
(91, 4873.673634831095, 1268.7341130143031, 42, 102)
(92, 1796.1316500894027, 1378.817090393044, 91, 22)
(93, 2873.3880994220963, 907.2394064925611, 37, 84)
(94, 329.24817779439036, -875.771242252551, 4, 49)
(95, 2042.5396075338358, 485.4770497297868, 1, 11)
(96, 555.4186585894786, 667.3919497197494, 89, 114)
(97, 4320.7012646277435, 886.6683450639248, 54, 102)
(98, 2884.5075920864474, 1033.4456482343376, 16, 81)
